Removed Pin From Net: NetName=NetC1_1 Pin=D2-2
Added Pin To Net: NetName=NetC1_1 Pin=R4-2
Added Pin To Net: NetName=NetC1_1 Pin=R5-2
Added Pin To Net: NetName=NetC1_1 Pin=R6-2
Added Pin To Net: NetName=NetC1_1 Pin=R7-2
Added Pin To Net: NetName=NetJ4_2 Pin=J4-2
Added Pin To Net: NetName=NetJ4_2 Pin=R4-1
Added Pin To Net: NetName=NetJ4_2 Pin=R5-1
Added Pin To Net: NetName=NetJ4_2 Pin=R6-1
Added Pin To Net: NetName=NetJ4_2 Pin=R7-1
Added Pin To Net: NetName=NetJ4_2 Pin=U2-1
Added Net: Name=NetJ4_2
