Altium Designer Pick and Place Locations
D:\hamed\project\altium\touch-tara\touch-2ch-v3\Pick Place for touch-2ch-v3.csv

========================================================================================================================
File Design Information:

Date:       14/07/26
Time:       10:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R18","200k","TopLayer","RES_1206_(3216X08L)","3.7875","2.6895","0","Resistor","3.7875","2.6895","2.3905","2.6895"
"R17","200k","TopLayer","RES_1206_(3216X08L)","3.7875","4.7215","0","Resistor","3.7875","4.7215","2.3905","4.7215"
"D17","LED2835","TopLayer","3.2X1.6X1.1","33.1360","37.0730","225","Typical RED, GREEN, YELLOW, AMBER GaAs LED","33.0200","36.9570","34.0199","37.9569"
"D16","LED2835","TopLayer","3.2X1.6X1.1","56.1230","36.3330","135","Typical RED, GREEN, YELLOW, AMBER GaAs LED","56.0070","36.4490","57.0069","35.4492"
"D15","LED2835","TopLayer","3.2X1.6X1.1","55.7640","3.3130","45","Typical RED, GREEN, YELLOW, AMBER GaAs LED","55.8800","3.4290","54.8802","2.4292"
"D14","LED2835","TopLayer","3.2X1.6X1.1","32.3062","3.6348","315","Typical RED, GREEN, YELLOW, AMBER GaAs LED","32.5120","3.4290","31.4224","4.5187"
"D13","LED2835","TopLayer","3.2X1.6X1.1","62.2488","36.2927","225","Typical RED, GREEN, YELLOW, AMBER GaAs LED","62.1329","36.1768","63.1327","37.1766"
"D12","LED2835","TopLayer","3.2X1.6X1.1","86.8570","35.5710","135","Typical RED, GREEN, YELLOW, AMBER GaAs LED","86.7410","35.6870","87.7409","34.6872"
"D11","LED2835","TopLayer","3.2X1.6X1.1","86.3549","3.9319","45","Typical RED, GREEN, YELLOW, AMBER GaAs LED","86.4709","4.0479","85.4710","3.0480"
"D10","LED2835","TopLayer","3.2X1.6X1.1","62.1140","4.4340","315","Typical RED, GREEN, YELLOW, AMBER GaAs LED","62.2300","4.3180","61.2302","5.3179"
"Q2","Triac","TopLayer","SOT89N","11.0490","22.4000","180","Silicon Bidirectional Triode Thyristor","10.9000","22.3760","12.7000","20.8760"
"3.6k","10K","TopLayer","RES_2010_(5026X08L)","74.4210","4.1910","180","Resistor","74.4220","4.1910","76.1990","4.1910"
"3.6k","10K","TopLayer","RES_2010_(5026X08L)","74.2940","35.9410","0","Resistor","74.2950","35.9410","72.5160","35.9410"
"D7","LED2","TopLayer","3.2X1.6X1.1","63.0330","8.8490","135","Typical RED, GREEN, YELLOW, AMBER GaAs LED","63.0965","8.7855","63.9855","7.8965"
"D6","LED2","TopLayer","3.2X1.6X1.1","85.7885","9.2075","225","Typical RED, GREEN, YELLOW, AMBER GaAs LED","85.7250","9.2710","86.7410","10.1600"
"D5","LED2","TopLayer","3.2X1.6X1.1","85.6615","31.0515","315","Typical RED, GREEN, YELLOW, AMBER GaAs LED","85.7250","30.9880","84.7090","32.0040"
"D4","LED2","TopLayer","3.2X1.6X1.1","62.7790","31.2010","45","Typical RED, GREEN, YELLOW, AMBER GaAs LED","62.8425","31.2645","61.8265","30.2485"
"P1","Plug","TopLayer","PIN1","44.3005","19.9615","90","Plug","44.3005","19.9615","44.3005","19.9615"
"3.6k","10K","TopLayer","RES_2010_(5026X08L)","43.9420","35.9410","0","Resistor","43.9420","35.9410","41.7170","35.9410"
