Altium Designer Pick and Place Locations
D:\hamed\project\altium\remote-38k-6key\Pick Place for remote-38k-6key-v2.csv

========================================================================================================================
File Design Information:

Date:       30/07/26
Time:       13:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Description"
"C1","47uf","TopLayer","C1206","29.2240","269.7800","29.4640","269.7800","30.8140","269.7800","180","Default Diode"
"Q3","Triac","TopLayer","SOT89N","13.1140","258.3500","11.3140","258.3500","13.1140","256.8500","180","Silicon Bidirectional Triode Thyristor"
"D5v","D5v","TopLayer","CAP_1206","29.3370","272.8280","29.2100","272.8280","27.3050","272.8280","0","Capacitor"
"R8","10K","TopLayer","RES_1206_(3216X08L)","17.1030","262.7950","17.1450","262.7950","18.7120","262.7950","180","Resistor"
"U1","MB6S","TopLayer","SOIC245P670X270-4N","9.9060","276.2570","9.9060","276.2570","12.8060","275.0320","180","Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC"
"J3","Header4X1","BottomLayer","HEADER_4X1","3.5560","261.6520","3.5560","265.4620","3.5560","265.4620","270",""
"R9","10K","TopLayer","RES_1206_(3216X08L)","17.0180","256.9530","16.7640","256.9530","18.6690","256.9530","180","Resistor"
"R7","10K","TopLayer","RES_1206_(3216X08L)","17.0395","268.9130","17.1450","268.9130","18.5850","268.9130","180","Resistor"
"Q1","Triac","TopLayer","SOT89N","13.1030","270.2880","11.3030","270.2880","13.1030","268.7880","180","Silicon Bidirectional Triode Thyristor"
"Q2","Triac","TopLayer","SOT89N","13.1140","264.3190","11.3140","264.3190","13.1140","262.8190","180","Silicon Bidirectional Triode Thyristor"
"J1","Header3X1","BottomLayer","HEADER_3X1","3.5560","274.8600","3.6830","272.3200","3.6830","272.3200","90",""
"R5","510","TopLayer","RES_1206_(3216X08L)","23.6246","269.7800","23.6220","269.7800","22.3266","269.7800","0","Resistor"
"R6","510","TopLayer","RES_1206_(3216X08L)","23.6246","266.6050","23.6220","266.6050","22.3266","266.6050","0","Resistor"
"U3","ATtiny15L-1SC","TopLayer","8S2_N","28.0670","258.6040","28.0670","258.6040","31.4670","256.6990","180","8-Bit AVR Microcontroller with 1K Byte of Flash Memory"
"J2","Header3X1","TopLayer","HEADER_3X1","35.3060","265.5890","35.3060","263.0490","35.3060","263.0490","90",""
"R1","5.6k","TopLayer","RES_1206_(3216X08L)","29.1465","263.4300","29.3370","263.4300","27.3050","263.4300","0","Resistor"
"R2","200k","TopLayer","RES_1206_(3216X08L)","23.6220","263.4300","23.6220","263.4300","22.3520","263.4300","0","Resistor"
"R3","510","TopLayer","RES_1206_(3216X08L)","23.6246","275.3680","23.6220","275.3680","22.3266","275.3680","0","Resistor"
"R4","510","TopLayer","RES_1206_(3216X08L)","23.6246","272.7010","23.6220","272.7010","22.3266","272.7010","0","Resistor"
"C2","100nf","TopLayer","CAP_1206","29.2380","266.6050","29.4640","266.6050","27.6860","266.6050","0","Capacitor"
"c10","33nf","TopLayer","RES_1206_(3216X08L)","35.5600","257.3340","35.5600","257.3340","34.2900","257.3340","0","Resistor"
"C1","47uf","TopLayer","C1206","29.2240","241.7800","29.4640","241.7800","30.8140","241.7800","180","Default Diode"
"Q3","Triac","TopLayer","SOT89N","13.1140","230.3500","11.3140","230.3500","13.1140","228.8500","180","Silicon Bidirectional Triode Thyristor"
"D5v","D5v","TopLayer","CAP_1206","29.3370","244.8280","29.2100","244.8280","27.3050","244.8280","0","Capacitor"
"R8","10K","TopLayer","RES_1206_(3216X08L)","17.1030","234.7950","17.1450","234.7950","18.7120","234.7950","180","Resistor"
"U1","MB6S","TopLayer","SOIC245P670X270-4N","9.9060","248.2570","9.9060","248.2570","12.8060","247.0320","180","Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC"
"J3","Header4X1","BottomLayer","HEADER_4X1","3.5560","233.6520","3.5560","237.4620","3.5560","237.4620","270",""
"R9","10K","TopLayer","RES_1206_(3216X08L)","17.0180","228.9530","16.7640","228.9530","18.6690","228.9530","180","Resistor"
"R7","10K","TopLayer","RES_1206_(3216X08L)","17.0395","240.9130","17.1450","240.9130","18.5850","240.9130","180","Resistor"
"Q1","Triac","TopLayer","SOT89N","13.1030","242.2880","11.3030","242.2880","13.1030","240.7880","180","Silicon Bidirectional Triode Thyristor"
"Q2","Triac","TopLayer","SOT89N","13.1140","236.3190","11.3140","236.3190","13.1140","234.8190","180","Silicon Bidirectional Triode Thyristor"
"J1","Header3X1","BottomLayer","HEADER_3X1","3.5560","246.8600","3.6830","244.3200","3.6830","244.3200","90",""
"R5","510","TopLayer","RES_1206_(3216X08L)","23.6246","241.7800","23.6220","241.7800","22.3266","241.7800","0","Resistor"
"R6","510","TopLayer","RES_1206_(3216X08L)","23.6246","238.6050","23.6220","238.6050","22.3266","238.6050","0","Resistor"
"U3","ATtiny15L-1SC","TopLayer","8S2_N","28.0670","230.6040","28.0670","230.6040","31.4670","228.6990","180","8-Bit AVR Microcontroller with 1K Byte of Flash Memory"
