Designator,Comment,Layer,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Rotation,Description,,,,
f,f,TopLayer,f,3.93,11.05,3.93,11.05,3.93,11.05,90,f,,,,
f,f,TopLayer,f,35.56,277.4,35.56,277.4,35.56,277.4,90,f,,,,
Q3,Triac,TopLayer,SOT89N,13.114,258.35,11.314,258.35,13.114,256.85,180,Silicon Bidirectional Triode Thyristor,,,,
U1,MB6S,TopLayer,SOIC245P670X270-4N,9.906,276.257,9.906,276.257,12.806,275.032,180,Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC,,,,
Q1,Triac,TopLayer,SOT89N,13.103,270.288,11.303,270.288,13.103,268.788,180,Silicon Bidirectional Triode Thyristor,,,,
Q2,Triac,TopLayer,SOT89N,13.114,264.319,11.314,264.319,13.114,262.819,180,Silicon Bidirectional Triode Thyristor,,,,
R5,510,TopLayer,RES_1206_(3216X08L),23.6246,269.78,23.622,269.78,22.3266,269.78,0,Resistor,,,,
R6,510,TopLayer,RES_1206_(3216X08L),23.6246,266.605,23.622,266.605,22.3266,266.605,0,Resistor,,,,
U3,ATtiny15L-1SC,TopLayer,8S2_N,28.067,258.604,28.067,258.604,31.467,256.699,180,8-Bit AVR Microcontroller with 1K Byte of Flash Memory,,,,
R3,510,TopLayer,RES_1206_(3216X08L),23.6246,275.368,23.622,275.368,22.3266,275.368,0,Resistor,,,,
R4,510,TopLayer,RES_1206_(3216X08L),23.6246,272.701,23.622,272.701,22.3266,272.701,0,Resistor,,,,
Q3,Triac,TopLayer,SOT89N,13.114,230.35,11.314,230.35,13.114,228.85,180,Silicon Bidirectional Triode Thyristor,,,,
U1,MB6S,TopLayer,SOIC245P670X270-4N,9.906,248.257,9.906,248.257,12.806,247.032,180,Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC,,,,
Q1,Triac,TopLayer,SOT89N,13.103,242.288,11.303,242.288,13.103,240.788,180,Silicon Bidirectional Triode Thyristor,,,,
Q2,Triac,TopLayer,SOT89N,13.114,236.319,11.314,236.319,13.114,234.819,180,Silicon Bidirectional Triode Thyristor,,,,
R5,510,TopLayer,RES_1206_(3216X08L),23.6246,241.78,23.622,241.78,22.3266,241.78,0,Resistor,,,,
R6,510,TopLayer,RES_1206_(3216X08L),23.6246,238.605,23.622,238.605,22.3266,238.605,0,Resistor,,,,
U3,ATtiny15L-1SC,TopLayer,8S2_N,28.067,230.604,28.067,230.604,31.467,228.699,180,8-Bit AVR Microcontroller with 1K Byte of Flash Memory,,,,
R3,510,TopLayer,RES_1206_(3216X08L),23.6246,247.368,23.622,247.368,22.3266,247.368,0,Resistor,,,,
R4,510,TopLayer,RES_1206_(3216X08L),23.6246,244.701,23.622,244.701,22.3266,244.701,0,Resistor,,,,
Q3,Triac,TopLayer,SOT89N,13.114,202.35,11.314,202.35,13.114,200.85,180,Silicon Bidirectional Triode Thyristor,,,,
U1,MB6S,TopLayer,SOIC245P670X270-4N,9.906,220.257,9.906,220.257,12.806,219.032,180,Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC,,,,
Q1,Triac,TopLayer,SOT89N,13.103,214.288,11.303,214.288,13.103,212.788,180,Silicon Bidirectional Triode Thyristor,,,,
Q2,Triac,TopLayer,SOT89N,13.114,208.319,11.314,208.319,13.114,206.819,180,Silicon Bidirectional Triode Thyristor,,,,
R5,510,TopLayer,RES_1206_(3216X08L),23.6246,213.78,23.622,213.78,22.3266,213.78,0,Resistor,,,,
R6,510,TopLayer,RES_1206_(3216X08L),23.6246,210.605,23.622,210.605,22.3266,210.605,0,Resistor,,,,
U3,ATtiny15L-1SC,TopLayer,8S2_N,28.067,202.604,28.067,202.604,31.467,200.699,180,8-Bit AVR Microcontroller with 1K Byte of Flash Memory,,,,
R3,510,TopLayer,RES_1206_(3216X08L),23.6246,219.368,23.622,219.368,22.3266,219.368,0,Resistor,,,,
R4,510,TopLayer,RES_1206_(3216X08L),23.6246,216.701,23.622,216.701,22.3266,216.701,0,Resistor,,,,
Q3,Triac,TopLayer,SOT89N,13.114,174.35,11.314,174.35,13.114,172.85,180,Silicon Bidirectional Triode Thyristor,,,,
U1,MB6S,TopLayer,SOIC245P670X270-4N,9.906,192.257,9.906,192.257,12.806,191.032,180,Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC,,,,
Q1,Triac,TopLayer,SOT89N,13.103,186.288,11.303,186.288,13.103,184.788,180,Silicon Bidirectional Triode Thyristor,,,,
Q2,Triac,TopLayer,SOT89N,13.114,180.319,11.314,180.319,13.114,178.819,180,Silicon Bidirectional Triode Thyristor,,,,
R5,510,TopLayer,RES_1206_(3216X08L),23.6246,185.78,23.622,185.78,22.3266,185.78,0,Resistor,,,,
R6,510,TopLayer,RES_1206_(3216X08L),23.6246,182.605,23.622,182.605,22.3266,182.605,0,Resistor,,,,
U3,ATtiny15L-1SC,TopLayer,8S2_N,28.067,174.604,28.067,174.604,31.467,172.699,180,8-Bit AVR Microcontroller with 1K Byte of Flash Memory,,,,
R3,510,TopLayer,RES_1206_(3216X08L),23.6246,191.368,23.622,191.368,22.3266,191.368,0,Resistor,,,,
R4,510,TopLayer,RES_1206_(3216X08L),23.6246,188.701,23.622,188.701,22.3266,188.701,0,Resistor,,,,
Q3,Triac,TopLayer,SOT89N,13.114,146.35,11.314,146.35,13.114,144.85,180,Silicon Bidirectional Triode Thyristor,,,,
U1,MB6S,TopLayer,SOIC245P670X270-4N,9.906,164.257,9.906,164.257,12.806,163.032,180,Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC,,,,
Q1,Triac,TopLayer,SOT89N,13.103,158.288,11.303,158.288,13.103,156.788,180,Silicon Bidirectional Triode Thyristor,,,,
Q2,Triac,TopLayer,SOT89N,13.114,152.319,11.314,152.319,13.114,150.819,180,Silicon Bidirectional Triode Thyristor,,,,
R5,510,TopLayer,RES_1206_(3216X08L),23.6246,157.78,23.622,157.78,22.3266,157.78,0,Resistor,,,,
R6,510,TopLayer,RES_1206_(3216X08L),23.6246,154.605,23.622,154.605,22.3266,154.605,0,Resistor,,,,
U3,ATtiny15L-1SC,TopLayer,8S2_N,28.067,146.604,28.067,146.604,31.467,144.699,180,8-Bit AVR Microcontroller with 1K Byte of Flash Memory,,,,
R3,510,TopLayer,RES_1206_(3216X08L),23.6246,163.368,23.622,163.368,22.3266,163.368,0,Resistor,,,,
R4,510,TopLayer,RES_1206_(3216X08L),23.6246,160.701,23.622,160.701,22.3266,160.701,0,Resistor,,,,
Q3,Triac,TopLayer,SOT89N,13.114,118.35,11.314,118.35,13.114,116.85,180,Silicon Bidirectional Triode Thyristor,,,,
U1,MB6S,TopLayer,SOIC245P670X270-4N,9.906,136.257,9.906,136.257,12.806,135.032,180,Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC,,,,
Q1,Triac,TopLayer,SOT89N,13.103,130.288,11.303,130.288,13.103,128.788,180,Silicon Bidirectional Triode Thyristor,,,,
Q2,Triac,TopLayer,SOT89N,13.114,124.319,11.314,124.319,13.114,122.819,180,Silicon Bidirectional Triode Thyristor,,,,
R5,510,TopLayer,RES_1206_(3216X08L),23.6246,129.78,23.622,129.78,22.3266,129.78,0,Resistor,,,,
R6,510,TopLayer,RES_1206_(3216X08L),23.6246,126.605,23.622,126.605,22.3266,126.605,0,Resistor,,,,
U3,ATtiny15L-1SC,TopLayer,8S2_N,28.067,118.604,28.067,118.604,31.467,116.699,180,8-Bit AVR Microcontroller with 1K Byte of Flash Memory,,,,
R3,510,TopLayer,RES_1206_(3216X08L),23.6246,135.368,23.622,135.368,22.3266,135.368,0,Resistor,,,,
R4,510,TopLayer,RES_1206_(3216X08L),23.6246,132.701,23.622,132.701,22.3266,132.701,0,Resistor,,,,
Q3,Triac,TopLayer,SOT89N,13.114,90.35,11.314,90.35,13.114,88.85,180,Silicon Bidirectional Triode Thyristor,,,,
U1,MB6S,TopLayer,SOIC245P670X270-4N,9.906,108.257,9.906,108.257,12.806,107.032,180,Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC,,,,
Q1,Triac,TopLayer,SOT89N,13.103,102.288,11.303,102.288,13.103,100.788,180,Silicon Bidirectional Triode Thyristor,,,,
Q2,Triac,TopLayer,SOT89N,13.114,96.319,11.314,96.319,13.114,94.819,180,Silicon Bidirectional Triode Thyristor,,,,
R5,510,TopLayer,RES_1206_(3216X08L),23.6246,101.78,23.622,101.78,22.3266,101.78,0,Resistor,,,,
R6,510,TopLayer,RES_1206_(3216X08L),23.6246,98.605,23.622,98.605,22.3266,98.605,0,Resistor,,,,
U3,ATtiny15L-1SC,TopLayer,8S2_N,28.067,90.604,28.067,90.604,31.467,88.699,180,8-Bit AVR Microcontroller with 1K Byte of Flash Memory,,,,
R3,510,TopLayer,RES_1206_(3216X08L),23.6246,107.368,23.622,107.368,22.3266,107.368,0,Resistor,,,,
R4,510,TopLayer,RES_1206_(3216X08L),23.6246,104.701,23.622,104.701,22.3266,104.701,0,Resistor,,,,
Q3,Triac,TopLayer,SOT89N,13.114,62.35,11.314,62.35,13.114,60.85,180,Silicon Bidirectional Triode Thyristor,,,,
U1,MB6S,TopLayer,SOIC245P670X270-4N,9.906,80.257,9.906,80.257,12.806,79.032,180,Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC,,,,
Q1,Triac,TopLayer,SOT89N,13.103,74.288,11.303,74.288,13.103,72.788,180,Silicon Bidirectional Triode Thyristor,,,,
Q2,Triac,TopLayer,SOT89N,13.114,68.319,11.314,68.319,13.114,66.819,180,Silicon Bidirectional Triode Thyristor,,,,
