Change Footprint: Cannot match pads with new footprint in component :D10 Footprint:LEDC3216X120N
Change Footprint: Cannot match pads with new footprint in component :D11 Footprint:LEDC3216X120N
Change Footprint: Cannot match pads with new footprint in component :D14 Footprint:LEDC3216X120N
Change Footprint: Cannot match pads with new footprint in component :D15 Footprint:LEDC3216X120N
Change Footprint: Cannot match pads with new footprint in component :D19 Footprint:LEDC3216X120N
Change Footprint: Cannot match pads with new footprint in component :D20 Footprint:LEDC3216X120N
Add component: Footprint Not Found minimelf
Added Pin To Net: NetName=NetC1_1 Pin=C1-1
Added Pin To Net: NetName=NetC1_2 Pin=C1-2
Added Pin To Net: NetName=NetC1_2 Pin=C2-1
Added Pin To Net: NetName=NetC2_2 Pin=C2-2
Added Pin To Net: NetName=NetC1_2 Pin=C3-1
Added Pin To Net: NetName=NetC3_2 Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=NetC4_2 Pin=C4-2
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=NetC4_2 Pin=C5-2
Added Pin To Net: NetName=VCC Pin=C8-1
Added Pin To Net: NetName=GND Pin=C8-2
Added Pin To Net: NetName=NetC10_1 Pin=C10-1
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=GND Pin=C11-1
Added Pin To Net: NetName=+12v Pin=C11-2
Added Pin To Net: NetName=GND Pin=C12-1
Added Pin To Net: NetName=VCC Pin=C12-2
Added Pin To Net: NetName=NetC3_2 Pin=D1-1
Added Pin To Net: NetName=NetC2_2 Pin=D1-2
Added Pin To Net: NetName=+12v Pin=D2-1
Added Pin To Net: NetName=NetC3_2 Pin=D2-2
Added Pin To Net: NetName=NetC1_1 Pin=D3-1
Added Pin To Net: NetName=NetC3_2 Pin=D3-2
Add Pin To Net: Unknown Pin: Pin D4-1
Add Pin To Net: Unknown Pin: Pin D4-2
Added Pin To Net: NetName=GND Pin=D5-1
Added Pin To Net: NetName=NetC1_2 Pin=D5-2
Added Pin To Net: NetName=VCC Pin=D6-1
Added Pin To Net: NetName=+12v Pin=D6-2
Added Pin To Net: NetName=NetD7_1 Pin=D7-1
Added Pin To Net: NetName=o34 Pin=D7-2
Added Pin To Net: NetName=o34 Pin=D8-1
Added Pin To Net: NetName=GND Pin=D8-2
Added Pin To Net: NetName=NetD9_1 Pin=D9-1
Added Pin To Net: NetName=+12v Pin=D9-2
Added Pin To Net: NetName=NetD12_1 Pin=D12-1
Added Pin To Net: NetName=o33 Pin=D12-2
Added Pin To Net: NetName=o33 Pin=D13-1
Added Pin To Net: NetName=GND Pin=D13-2
Added Pin To Net: NetName=NetD16_1 Pin=D16-1
Added Pin To Net: NetName=+12v Pin=D16-2
Added Pin To Net: NetName=NetD17_1 Pin=D17-1
Added Pin To Net: NetName=o32 Pin=D17-2
Added Pin To Net: NetName=o32 Pin=D18-1
Added Pin To Net: NetName=GND Pin=D18-2
Added Pin To Net: NetName=NetD21_1 Pin=D21-1
Added Pin To Net: NetName=o31 Pin=D21-2
Added Pin To Net: NetName=o31 Pin=D22-1
Added Pin To Net: NetName=GND Pin=D22-2
Added Pin To Net: NetName=NetD23_1 Pin=D23-1
Added Pin To Net: NetName=+12v Pin=D23-2
Added Pin To Net: NetName=NetD24_1 Pin=D24-1
Added Pin To Net: NetName=+12v Pin=D24-2
Added Pin To Net: NetName=+12v Pin=K1-1
Added Pin To Net: NetName=NetD9_1 Pin=K1-2
Added Pin To Net: NetName=faz Pin=K1-3
Added Pin To Net: NetName=of1 Pin=K1-4
Added Pin To Net: NetName=+12v Pin=K2-1
Added Pin To Net: NetName=NetD16_1 Pin=K2-2
Added Pin To Net: NetName=faz Pin=K2-3
Added Pin To Net: NetName=of2 Pin=K2-4
Added Pin To Net: NetName=+12v Pin=K3-1
Added Pin To Net: NetName=NetD23_1 Pin=K3-2
Added Pin To Net: NetName=faz Pin=K3-3
Added Pin To Net: NetName=of3 Pin=K3-4
Added Pin To Net: NetName=+12v Pin=K4-1
Added Pin To Net: NetName=NetD24_1 Pin=K4-2
Added Pin To Net: NetName=faz Pin=K4-3
Added Pin To Net: NetName=of4 Pin=K4-4
Added Pin To Net: NetName=NetC1_2 Pin=L1-1
Added Pin To Net: NetName=+12v Pin=L1-2
Added Pin To Net: NetName=o13 Pin=P2-1
Added Pin To Net: NetName=o14 Pin=P2-2
Added Pin To Net: NetName=o12 Pin=P2-3
Added Pin To Net: NetName=VCC Pin=P2-4
Added Pin To Net: NetName=o11 Pin=P2-5
Added Pin To Net: NetName=GND Pin=P2-6
Added Pin To Net: NetName=NetP3_1 Pin=P3-1
Added Pin To Net: NetName=NetP3_2 Pin=P3-2
Added Pin To Net: NetName=NetP3_3 Pin=P3-3
Added Pin To Net: NetName=VCC Pin=P3-4
Added Pin To Net: NetName=NetP3_5 Pin=P3-5
Added Pin To Net: NetName=GND Pin=P3-6
Added Pin To Net: NetName=GND Pin=P4-1
Added Pin To Net: NetName=RF2 Pin=P4-2
Added Pin To Net: NetName=RF2 Pin=P4-3
Added Pin To Net: NetName=VCC Pin=P4-4
Added Pin To Net: NetName=o41 Pin=Q1-1
Added Pin To Net: NetName=GND Pin=Q1-2
Added Pin To Net: NetName=NetD9_1 Pin=Q1-3
Added Pin To Net: NetName=o42 Pin=Q2-1
Added Pin To Net: NetName=GND Pin=Q2-2
Added Pin To Net: NetName=NetD16_1 Pin=Q2-3
Added Pin To Net: NetName=o43 Pin=Q3-1
Added Pin To Net: NetName=GND Pin=Q3-2
Added Pin To Net: NetName=NetD23_1 Pin=Q3-3
Added Pin To Net: NetName=o44 Pin=Q4-1
Added Pin To Net: NetName=GND Pin=Q4-2
Added Pin To Net: NetName=NetD24_1 Pin=Q4-3
Added Pin To Net: NetName=o33 Pin=R2-1
Added Pin To Net: NetName=o13 Pin=R2-2
Added Pin To Net: NetName=o34 Pin=R3-1
Added Pin To Net: NetName=o14 Pin=R3-2
Added Pin To Net: NetName=o32 Pin=R5-1
Added Pin To Net: NetName=o12 Pin=R5-2
Added Pin To Net: NetName=o31 Pin=R7-1
Added Pin To Net: NetName=o11 Pin=R7-2
Added Pin To Net: NetName=o43 Pin=R8-1
Added Pin To Net: NetName=NetP3_1 Pin=R8-2
Added Pin To Net: NetName=o44 Pin=R9-1
Added Pin To Net: NetName=NetP3_2 Pin=R9-2
Added Pin To Net: NetName=o42 Pin=R10-1
Added Pin To Net: NetName=NetP3_3 Pin=R10-2
Added Pin To Net: NetName=o41 Pin=R11-1
Added Pin To Net: NetName=GND Pin=R11-2
Added Pin To Net: NetName=o41 Pin=R12-1
Added Pin To Net: NetName=NetP3_5 Pin=R12-2
Added Pin To Net: NetName=NetD7_1 Pin=R13-1
Added Pin To Net: NetName=VCC Pin=R13-2
Added Pin To Net: NetName=NetD12_1 Pin=R15-1
Added Pin To Net: NetName=VCC Pin=R15-2
Added Pin To Net: NetName=o42 Pin=R16-1
Added Pin To Net: NetName=GND Pin=R16-2
Added Pin To Net: NetName=NetD17_1 Pin=R18-1
Added Pin To Net: NetName=VCC Pin=R18-2
Added Pin To Net: NetName=o43 Pin=R20-1
Added Pin To Net: NetName=GND Pin=R20-2
Added Pin To Net: NetName=NetD21_1 Pin=R21-1
Added Pin To Net: NetName=VCC Pin=R21-2
Added Pin To Net: NetName=o44 Pin=R22-1
Added Pin To Net: NetName=GND Pin=R22-2
Added Pin To Net: NetName=VCC Pin=R23-1
Added Pin To Net: NetName=VCC Pin=R23-2
Added Pin To Net: NetName=nol Pin=T1-1
Added Pin To Net: NetName=faz Pin=T1-2
Added Pin To Net: NetName=of4 Pin=T1-3
Added Pin To Net: NetName=of3 Pin=T1-4
Added Pin To Net: NetName=of2 Pin=T1-5
Added Pin To Net: NetName=of1 Pin=T1-6
Added Pin To Net: NetName=VCC Pin=U2-1
Added Pin To Net: NetName=data2 Pin=U2-2
Added Pin To Net: NetName=o14 Pin=U2-3
Added Pin To Net: NetName=RF2 Pin=U2-4
Added Pin To Net: NetName=o12 Pin=U2-5
Added Pin To Net: NetName=o13 Pin=U2-6
Added Pin To Net: NetName=o11 Pin=U2-7
Added Pin To Net: NetName=GND Pin=U2-8
Added Pin To Net: NetName=NetC4_2 Pin=U3-1
Added Pin To Net: NetName=GND Pin=U3-2
Added Pin To Net: NetName=faz Pin=U3-3
Added Pin To Net: NetName=nol Pin=U3-4
Added Pin To Net: NetName=data2 Pin=U5-1
Added Pin To Net: NetName=NetC10_1 Pin=U5-2
Added Pin To Net: NetName=VCC Pin=U5-3
Added Pin To Net: NetName=GND Pin=U5-4
